Tên;B;L;H
ADV5+ADVts2;10.759075786;106.678319212;1.4036
tủ di dời ADV5;10.759087459;106.678424746;1.6383
ADV5+ADVts3;10.759196769;106.678624321;1.5293
ADV5+ADVts4;10.759305696;106.678887313;1.7105
ADV5+ADVts5;10.759408494;106.679145664;1.6265
ADV5+ADVts6;10.759512658;106.679409158;1.6483
ADV5+ADVts7;10.759642651;106.679723752;1.5394
ADV5+ADVts8;10.759749713;106.679999412;1.3043
trụ saii;10.759759422;106.680013793;2.1586
ADV4+ADVts1;10.759903856;106.680376510;1.5659
ADV4+ADVts2;10.760035391;106.680704045;1.6731
tủ ADV4;10.760059736;106.680855311;2.3332
ADV4+ADVts3;10.760193771;106.681013327;7.527
ADV4+ADVts4;10.760316206;106.681308338;11.0641
ADV4+ADVts5;10.760415461;106.681652992;1.6302
ADV4+ADVts6;10.760523874;106.681913433;1.5068
ADV4+ADVts7;10.760644379;106.682213619;1.6234
ADV4+ADVts8;10.760786771;106.682573231;1.4959
ADV4+ADVts9;10.760934886;106.682946222;1.1981
ADV2+ADVts1;10.761184301;106.683119071;1.2104
ADV2+ADVts2;10.761067727;106.682830623;1.0393
ADV2+ADVts3;10.760951494;106.682545731;1.7014
ADV2+ADVts4;10.760881991;106.682386580;1.4103
ADV2+ADVts5;10.760729177;106.681992547;1.8329
tủ ADV2;10.760729820;106.681915891;1.7296
ADV2+ADVts6;10.760617287;106.681693392;1.7636
ADV2+ADVts7;10.760498392;106.681415758;1.4012
ADV2+ADVts8;10.760366081;106.681086077;1.3982
tủ ADV3;10.760268048;106.680772337;1.6968
ADV3+ADVts1;10.760248912;106.680791252;1.7379
ADV3+ADVts2;10.760155731;106.680557716;1.5412
ADV3+ADVts3;10.760014170;106.680202882;0.986
ADV3+ADVts4;10.759939858;106.680003794;1.6644
ADV3+ADVts5;10.759811995;106.679701758;1.5994
ADV3+ADVts6;10.759701037;106.679430605;1.7973
ADV3+ADVts7;10.759577180;106.679122103;1.6273
ADV3+ADVts8;10.759460878;106.678829981;1.6989
ADV3+ADVts9;10.759230571;106.678676919;36.6373
ADV3+ADVts10;10.759137831;106.678330018;34.905
ADV3+ADVts11;10.759094334;106.678127559;21.9055
ADV3+ADVts12[1];10.759105333;106.678127664;20.0356
ADV3+ADVts12[2];10.759016830;106.677850864;22.8982
di dời tủ ADV3;10.759889012;106.679795455;1.6246
ADV6+ADVts1;10.758901261;106.677437983;1.5911
ADV6+ADVts2+tủADV6;10.758806989;106.677208689;1.7551
di dời tủADV6;10.758663179;106.677224609;32.8364
ADV6+ADVts3;10.758723679;106.677001684;1.6163
ADV6+ADVts4;10.758571274;106.676622156;1.7388
ADV6+ADVts5;10.758453039;106.676329775;1.749
ADV6+ADVts6;10.758354620;106.676083751;1.7026
ADV6+ADVts7;10.758252829;106.675830571;1.6952
ADV7+ADVts1;10.758175097;106.675637682;1.6959
ADV7+ADVts2+tủ;10.758102774;106.675454791;1.7042
ADV7+ADVts3;10.757959561;106.675184254;3.8278
ADV7+ADVts4;10.757882447;106.674899584;1.7696
Base_16;10.748056666;106.656370000;9.4765
BS2+KBts1;10.747858701;106.656519152;-0.6846
BS2+KBts1th;10.747911420;106.656495107;-0.6131
BS2+KBts2;10.748080266;106.656411344;-0.6468
BS2+KBts2th;10.748229683;106.656342121;-0.5862
TS1GPhu+laynguon;10.748233377;106.656268938;-0.945
BS2+KBts3;10.748440878;106.656251619;-0.6933
BS2+KBts3th;10.748566729;106.656191881;-0.4378
BS2+KBts4;10.748635519;106.656162037;-0.5082
BS2+KBts5;10.748889077;106.656048309;-0.5036
BS2+KB4th;10.748891973;106.656046539;-0.4366
Base_17;10.755680000;106.678583333;17.6766
EMG2-LHPth1;10.757086404;106.678117016;1.1768
EMG2-LHPts1;10.757001020;106.678149280;1.1209
EMG2-LHPth2;10.756847513;106.678208915;1.0521
EMG2-LHP di dời ts7;10.756793503;106.678202744;1.0708
EMG2-LHPts2;10.756599104;106.678285971;0.8913
EMG2-LHPth3+tủ;10.756541152;106.678305224;0.97
EMG2-LHPts3;10.756342004;106.678376557;0.7179
EMG2-LHPth4;10.756217578;106.678418684;0.5862
EMG2-LHPts4;10.756081629;106.678462811;0.1523
EMG4-LHPth1;10.755884152;106.678526360;0.4324
EMG4-LHPts1;10.755795986;106.678553701;0.5456
EMG4-LHPth2;10.755586451;106.678641532;0.545
EMG4-LHPts2;10.755506294;106.678665621;0.7868
EMG4-LHPth3;10.755451924;106.678688077;0.6079
Tủ EMG4;10.755447885;106.678684751;0.6264
EMG4-LHPts3;10.755333951;106.678727164;0.5893
EMG4-LHPth4;10.755122011;106.678803859;0.0531
EMG4-LHPts4;10.755113501;106.678806811;0.0114
EMG4-LHPts5;10.754889375;106.678882281;-0.2637
EMG4-LHPth5;10.754864769;106.678890888;-0.2811
Base_18;10.758688333;106.675496667;7.7765
TP8-lấy nguồnts5;10.758692889;106.675474368;1.3563
TP8-HMDts1;10.758568489;106.675567453;1.1893
ADV7 -lấy nguồn ts1;10.758177359;106.675638494;1.3897
ADV7-HMDts1;10.758310023;106.675640396;1.4642
ADV6-HMDth1;10.758264826;106.675775883;1.2555
ADV6-HMDth2;10.758532737;106.675690350;1.1962
ADV6-HMDth3;10.758714122;106.675650834;1.7835
ADV8-HMDth1;10.757892429;106.675751172;1.5214
ADV8-HMDth2;10.757706859;106.675801884;1.0517
ADV8-HMDth3;10.757423026;106.675878726;1.093
ADV8-HMDth4;10.757079393;106.675984121;1.146
ADV8-HMDth5;10.756865423;106.676079542;-7.2647
ADV8-HMDth6;10.756580589;106.676128465;1.2217
ADV8-HMDts1;10.757845983;106.675776505;0.9977
ADV8-HMDts2;10.757613346;106.675842234;0.8266
ADV8-HMDts3;10.757382098;106.675908535;0.7054
ADV8-HMDsai;10.757393350;106.675909030;1.0881
ADV8-HMDts4;10.757080764;106.675994272;1.0334
ADV8-HMDts5;10.756857418;106.676057394;0.9302
ADV8-HMDsaii;10.756856537;106.676057024;0.9093
ADV8-HMDts6;10.756584681;106.676135473;1.4643
PT3-HMDts1;10.756234482;106.676235572;0.7041
PT3-HMDth1;10.756177269;106.676252244;0.6514
PT3-HMDts2;10.755995623;106.676303300;0.289
trụ sai;10.755998286;106.676311448;0.6369
PT3-HMDth2;10.755801113;106.676361170;0.1985
PT3-HMDts3;10.755718417;106.676384104;0.0491
PT3-HMDth3;10.755488344;106.676444304;-0.0721
PT3-HMDts4;10.755490359;106.676450105;-0.171
Base_19;10.755311666;106.676576666;10.9765
PT3-HMDth4;10.755312023;106.676591101;17.847
MD5-HMDth1;10.754943492;106.676611282;-0.1695
PT3-HMDts5;10.754978961;106.676601733;-0.2592
MD5-HMDth2;10.754656652;106.676700196;1.5664
PT3-HMDts6;10.754661915;106.676703206;0.6091
MD5-HMDth3;10.754602153;106.676806699;-0.4209
MD5-HMDth4;10.754438945;106.676870546;17.9358
PT3-HMDts7;10.754439998;106.676851532;9.8191
MD5-HMDth5-tủMD5;10.754331365;106.676772047;-0.6834
sai;10.754330192;106.676777778;-0.3064
Base_20;10.753951667;106.676893333;0.2765
Base_21;10.753925000;106.676859999;5.4766
CQ-HMDts1;10.753955075;106.676890145;-0.7571
CQ-HMDth1;10.753712147;106.676959861;-0.8578
CQ-HMDts2;10.753708308;106.676957482;-0.6018
CQ-HMDth2;10.753370278;106.677052640;-0.925
CQ-HMDts3;10.753371703;106.677063370;-0.8546
CQ-HMDth3;10.752791756;106.677128472;-0.937
CQ-HMDth4-tủCQ;10.752545031;106.677132924;-0.7642
CQ-HMDth5;10.752367235;106.677145143;-1.0202
CQ-HMDts5;10.753031301;106.677099580;-0.7691
CQ-HMDts6;10.752674941;106.677123227;-0.7582
vi tri sai;10.752674459;106.677123380;0.1856
CQ-HMDt7;10.752397341;106.677137706;-0.8613
CQ-HMDts4;10.753200661;106.677091966;-0.679
Base_22;10.758799999;106.676980000;2.3765
Base_23;10.753225000;106.677149999;-0.5235
NT24-NTth1;10.752010312;106.676161817;-0.9503
NT24-NTth2;10.752264385;106.676096138;-0.698
NT24-NTth3;10.752511075;106.676029707;-0.8872
NT24-NTth4;10.752715357;106.675965973;-0.5137
NT24-NTth5;10.752932368;106.675909270;0.565
NT24-NTth6;10.753178872;106.675815291;8.8108
NT24-NTth7;10.753388221;106.675775660;-8.5809
NT24-NTth8;10.753724979;106.675692970;-4.7458
NT24-NTts1;10.752048929;106.676148291;-0.5899
NT24-NTts2;10.752264559;106.676089423;-0.6696
NT24-NTts3;10.752505201;106.676023080;-0.5025
NT24-NTts5;10.752980927;106.675895048;-1.0355
NT24-NTts6;10.753298615;106.675803823;-0.7948
NT24-NTts7;10.753635350;106.675695751;10.6448
NT24-NTts4;10.752750614;106.675956223;-0.7352
NT24-CACth1-tủCAC;10.752457112;106.675791939;-1.0212
NT24-CACth2;10.752391074;106.675556386;-0.7799
NT24-CACth3;10.752327429;106.675281735;-0.5687
NT24-CACts1;10.752464345;106.675793178;-1.0879
NT24-CACts2;10.752391323;106.675557607;-0.9342
NT24-CACts3;10.752308413;106.675247792;-1.0183
NT4-NTth1;10.752376741;106.674030458;-0.0831
NT4-NTth2;10.752510118;106.674266882;4.9063
NT4-NTts2;10.752532425;106.674425780;4.8378
NT4-NTth3;10.752612357;106.674579033;12.1605
NT4-NTts3;10.752642543;106.674685471;12.4939
NT4-NTth4;10.752699988;106.674843242;12.604
NT4-NTts1;10.752434094;106.674195965;-0.3742
NT4-NTth5;10.752728290;106.675183295;-0.6018
NT4-NTts5;10.752728990;106.675183703;-0.6192
NT4-NTth6+tủ;10.752812629;106.675479874;0.1147
NT4-NTts6;10.752815314;106.675477843;0.195
NT4-NTth7;10.752922925;106.675573505;10.181
NT4-NTts7;10.752893008;106.675752075;0.2274
